MC Hyperbolic Ising model
p:;3
q:;7
n:;7
Active nodes:;115
Total nodes:;187
Beta:;20
E:;0.4969039949999533
J:;0.18633899812498247
Gamma:;100
Epsilon:;-1.047197551196598
h:;0.08333333333333337
Thermaliatzion time [its]:;100000000
MC update time [its]:;100000
MC samples:;1000

Time for Thermalization [s]:;49.78506302833557

Time for Sampling [s]:;50.55589747428894

Energy; Boundary_length
-30.913688344953457;60
-30.913688344953457;59
-30.913688344953457;61
-30.913688344953457;60
-30.913688344953457;60
-30.913688344953457;59
-30.913688344953457;59
-30.913688344953457;59
-30.37589168453686;62
-30.913688344953457;59
-30.20922501787019;59
-30.913688344953457;59
-30.913688344953457;61
-30.913688344953457;60
-30.913688344953457;58
-30.913688344953457;61
-30.913688344953457;58
-30.913688344953457;60
-30.913688344953457;61
-30.913688344953457;63
-30.913688344953457;59
-30.913688344953457;58
-30.913688344953457;62
-30.913688344953457;60
-30.913688344953457;62
-30.913688344953457;59
-30.913688344953457;60
-30.913688344953457;59
-30.913688344953457;59
-30.913688344953457;59
-30.37589168453686;59
-30.913688344953457;61
-30.913688344953457;61
-30.913688344953457;62
-30.913688344953457;62
-29.838095024120246;61
-30.913688344953457;60
-30.913688344953457;58
-30.913688344953457;62
-30.37589168453686;61
-30.913688344953457;61
-30.913688344953457;60
-30.913688344953457;60
-30.913688344953457;60
-30.913688344953457;59
-30.913688344953457;60
-30.913688344953457;60
-30.913688344953457;58
-30.913688344953457;60
-30.913688344953457;58
-30.913688344953457;62
-30.913688344953457;60
-30.913688344953457;61
-30.913688344953457;58
-30.913688344953457;60
-30.913688344953457;58
-30.913688344953457;60
-30.37589168453686;60
-30.913688344953457;60
-30.913688344953457;61
-30.913688344953457;59
-30.913688344953457;62
-30.913688344953457;58
-30.913688344953457;61
-30.913688344953457;61
-30.913688344953457;60
-30.913688344953457;61
-30.913688344953457;61
-30.913688344953457;62
-30.913688344953457;58
-30.913688344953457;62
-30.913688344953457;62
-30.913688344953457;61
-30.913688344953457;60
-30.913688344953457;61
-30.913688344953457;61
-30.913688344953457;61
-30.913688344953457;59
-30.913688344953457;60
-30.913688344953457;61
-30.913688344953457;59
-30.913688344953457;60
-30.913688344953457;60
-30.913688344953457;60
-30.913688344953457;59
-30.913688344953457;62
-30.913688344953457;62
-30.913688344953457;61
-30.913688344953457;59
-30.913688344953457;60
-30.913688344953457;61
-30.20922501787019;61
-30.37589168453686;59
-30.913688344953457;60
-30.913688344953457;60
-30.913688344953457;62
-30.913688344953457;60
-30.913688344953457;60
-30.913688344953457;60
-30.913688344953457;61
-30.913688344953457;58
-30.913688344953457;59
-30.37589168453686;59
-30.913688344953457;58
-30.913688344953457;59
-30.37589168453686;62
-30.913688344953457;62
-30.913688344953457;60
-30.913688344953457;59
-30.913688344953457;59
-30.913688344953457;60
-30.913688344953457;61
-30.913688344953457;61
-30.913688344953457;62
-30.913688344953457;62
-30.913688344953457;58
-30.913688344953457;58
-30.913688344953457;59
-30.913688344953457;62
-30.913688344953457;60
-30.913688344953457;61
-30.913688344953457;62
-30.20922501787019;60
-30.913688344953457;58
-30.913688344953457;59
-30.913688344953457;60
-30.913688344953457;59
-30.913688344953457;59
-30.913688344953457;62
-30.913688344953457;60
-30.913688344953457;61
-30.913688344953457;61
-30.913688344953457;60
-30.913688344953457;60
-30.913688344953457;59
-30.913688344953457;60
-30.913688344953457;63
-30.913688344953457;59
-30.913688344953457;61
-30.913688344953457;58
-30.913688344953457;60
-30.913688344953457;63
-30.913688344953457;63
-30.913688344953457;61
-30.913688344953457;61
-30.913688344953457;61
-30.913688344953457;60
-30.913688344953457;59
-30.913688344953457;60
-30.913688344953457;59
-30.913688344953457;62
-30.913688344953457;59
-30.913688344953457;59
-30.37589168453686;58
-30.913688344953457;61
-30.913688344953457;62
-30.913688344953457;60
-30.913688344953457;60
-30.913688344953457;60
-30.913688344953457;61
-30.913688344953457;58
-30.913688344953457;60
-30.913688344953457;59
-30.913688344953457;60
-30.913688344953457;60
-30.913688344953457;61
-30.913688344953457;60
-30.913688344953457;62
-30.913688344953457;61
-30.913688344953457;60
-30.913688344953457;61
-30.913688344953457;59
-30.913688344953457;63
-30.913688344953457;62
-30.37589168453686;60
-30.913688344953457;61
-30.913688344953457;58
-30.913688344953457;59
-30.913688344953457;60
-30.913688344953457;60
-30.913688344953457;59
-30.37589168453686;59
-30.37589168453686;59
-30.913688344953457;60
-30.37589168453686;58
-30.913688344953457;60
-30.913688344953457;61
-30.913688344953457;63
-30.913688344953457;58
-30.913688344953457;60
-30.37589168453686;60
-30.913688344953457;60
-30.913688344953457;60
-30.913688344953457;60
-30.913688344953457;62
-30.913688344953457;59
-30.913688344953457;61
-30.913688344953457;61
-30.913688344953457;60
-30.913688344953457;59
-30.37589168453686;60
-30.913688344953457;61
-30.913688344953457;59
-30.913688344953457;60
-30.37589168453686;60
-30.913688344953457;61
-30.913688344953457;62
-30.913688344953457;60
-30.913688344953457;59
-30.913688344953457;59
-30.913688344953457;60
-30.913688344953457;61
-30.913688344953457;62
-30.913688344953457;59
-30.913688344953457;59
-30.913688344953457;60
-30.913688344953457;61
-30.913688344953457;59
-30.913688344953457;63
-30.913688344953457;59
-30.913688344953457;60
-30.913688344953457;62
-30.913688344953457;59
-30.913688344953457;60
-30.913688344953457;62
-30.913688344953457;59
-30.913688344953457;60
-30.913688344953457;60
-30.913688344953457;61
-30.913688344953457;59
-30.913688344953457;61
-30.913688344953457;62
-30.913688344953457;60
-30.913688344953457;59
-30.913688344953457;60
-30.913688344953457;59
-30.913688344953457;60
-30.913688344953457;60
-30.913688344953457;59
-30.913688344953457;60
-30.913688344953457;59
-30.913688344953457;60
-30.913688344953457;59
-30.913688344953457;60
-30.913688344953457;60
-30.913688344953457;61
-30.913688344953457;59
-30.913688344953457;59
-30.913688344953457;62
-30.913688344953457;59
-30.913688344953457;60
-30.913688344953457;60
-30.913688344953457;59
-30.913688344953457;59
-30.913688344953457;59
-30.913688344953457;60
-30.913688344953457;61
-30.913688344953457;61
-30.913688344953457;63
-30.913688344953457;60
-30.913688344953457;58
-30.913688344953457;60
-30.913688344953457;61
-30.913688344953457;60
-30.913688344953457;59
-30.913688344953457;60
-30.913688344953457;60
-30.913688344953457;59
-30.913688344953457;60
-30.913688344953457;59
-30.913688344953457;62
-30.913688344953457;61
-30.913688344953457;60
-30.913688344953457;61
-30.913688344953457;59
-30.913688344953457;58
-30.913688344953457;60
-30.913688344953457;59
-30.913688344953457;59
-30.913688344953457;60
-30.913688344953457;61
-30.913688344953457;60
-30.913688344953457;59
-30.913688344953457;59
-30.913688344953457;60
-30.913688344953457;62
-30.37589168453686;60
-30.913688344953457;61
-30.20922501787019;61
-30.913688344953457;60
-30.913688344953457;58
-30.913688344953457;59
-30.37589168453686;61
-30.913688344953457;60
-30.913688344953457;61
-30.913688344953457;60
-30.913688344953457;60
-30.913688344953457;61
-30.913688344953457;60
-30.913688344953457;61
-30.913688344953457;60
-30.913688344953457;60
-30.913688344953457;62
-30.913688344953457;61
-30.913688344953457;62
-30.913688344953457;59
-30.913688344953457;62
-30.913688344953457;60
-30.913688344953457;62
-30.913688344953457;62
-30.913688344953457;60
-30.913688344953457;62
-30.913688344953457;60
-30.913688344953457;62
-30.913688344953457;60
-30.913688344953457;62
-30.913688344953457;61
-30.913688344953457;60
-30.913688344953457;60
-30.913688344953457;61
-30.913688344953457;60
-30.913688344953457;61
-30.913688344953457;59
-30.913688344953457;62
-30.913688344953457;59
-30.913688344953457;61
-30.913688344953457;59
-30.913688344953457;63
-30.37589168453686;63
-30.913688344953457;59
-30.913688344953457;62
-30.913688344953457;60
-30.913688344953457;58
-30.913688344953457;61
-30.913688344953457;60
-30.913688344953457;60
-30.913688344953457;62
-30.913688344953457;60
-30.913688344953457;59
-30.913688344953457;60
-30.913688344953457;61
-30.913688344953457;61
-30.913688344953457;61
-30.913688344953457;62
-30.913688344953457;59
-30.913688344953457;60
-30.913688344953457;60
-30.913688344953457;61
-30.913688344953457;62
-30.913688344953457;62
-30.913688344953457;64
-30.913688344953457;62
-30.913688344953457;61
-30.913688344953457;61
-30.913688344953457;61
-30.913688344953457;59
-30.913688344953457;59
-30.913688344953457;60
-30.913688344953457;59
-30.913688344953457;60
-30.913688344953457;59
-30.913688344953457;62
-30.913688344953457;60
-30.913688344953457;58
-30.913688344953457;58
-30.913688344953457;62
-30.913688344953457;60
-30.913688344953457;61
-30.37589168453686;58
-30.913688344953457;61
-30.913688344953457;60
-30.913688344953457;61
-30.913688344953457;61
-30.37589168453686;60
-30.913688344953457;61
-30.913688344953457;62
-30.20922501787019;59
-30.913688344953457;61
-30.37589168453686;60
-30.913688344953457;61
-30.913688344953457;60
-30.913688344953457;60
-30.913688344953457;61
-30.913688344953457;62
-30.913688344953457;58
-30.913688344953457;60
-30.37589168453686;60
-30.913688344953457;61
-30.913688344953457;60
-30.913688344953457;61
-30.913688344953457;61
-30.913688344953457;61
-30.913688344953457;59
-30.913688344953457;60
-30.913688344953457;60
-30.913688344953457;60
-30.913688344953457;63
-30.913688344953457;60
-30.913688344953457;60
-30.913688344953457;60
-30.913688344953457;60
-30.913688344953457;59
-30.913688344953457;61
-30.37589168453686;59
-30.913688344953457;62
-30.913688344953457;59
-30.913688344953457;60
-30.913688344953457;59
-30.913688344953457;63
-30.913688344953457;60
-30.913688344953457;60
-30.913688344953457;60
-30.913688344953457;60
-30.913688344953457;59
-30.913688344953457;62
-30.913688344953457;62
-30.913688344953457;60
-30.37589168453686;60
-30.913688344953457;60
-30.913688344953457;60
-30.913688344953457;59
-30.913688344953457;61
-30.913688344953457;61
-30.913688344953457;59
-30.37589168453686;60
-30.913688344953457;60
-30.913688344953457;60
-30.913688344953457;60
-30.913688344953457;60
-30.913688344953457;59
-30.913688344953457;59
-30.913688344953457;61
-30.913688344953457;60
-30.913688344953457;61
-30.913688344953457;59
-30.37589168453686;58
-30.37589168453686;61
-30.913688344953457;61
-30.913688344953457;59
-30.913688344953457;60
-30.913688344953457;61
-30.913688344953457;60
-30.913688344953457;62
-30.913688344953457;62
-30.913688344953457;63
-30.913688344953457;62
-30.913688344953457;61
-30.913688344953457;60
-30.913688344953457;62
-30.913688344953457;62
-30.913688344953457;60
-30.913688344953457;61
-30.913688344953457;59
-30.913688344953457;61
-30.913688344953457;60
-30.913688344953457;61
-30.913688344953457;60
-30.913688344953457;60
-30.913688344953457;59
-30.913688344953457;60
-30.913688344953457;60
-30.913688344953457;59
-30.913688344953457;61
-30.913688344953457;62
-30.913688344953457;62
-30.913688344953457;60
-30.913688344953457;59
-30.913688344953457;60
-30.913688344953457;59
-30.913688344953457;61
-30.913688344953457;61
-30.913688344953457;60
-30.913688344953457;60
-30.913688344953457;61
-30.913688344953457;61
-30.913688344953457;62
-30.913688344953457;59
-30.913688344953457;62
-30.913688344953457;59
-30.913688344953457;62
-30.913688344953457;59
-30.913688344953457;61
-30.913688344953457;59
-30.913688344953457;59
-30.913688344953457;63
-30.913688344953457;58
-30.913688344953457;60
-30.913688344953457;61
-30.913688344953457;62
-30.913688344953457;58
-30.913688344953457;61
-30.913688344953457;61
-30.913688344953457;60
-30.913688344953457;60
-30.913688344953457;59
-30.913688344953457;61
-30.913688344953457;59
-30.913688344953457;61
-30.913688344953457;59
-30.913688344953457;60
-30.913688344953457;60
-30.913688344953457;63
-30.913688344953457;59
-30.37589168453686;61
-30.913688344953457;59
-30.913688344953457;61
-30.913688344953457;60
-30.913688344953457;61
-30.913688344953457;62
-30.913688344953457;58
-30.37589168453686;62
-30.37589168453686;61
-30.913688344953457;60
-30.913688344953457;60
-30.913688344953457;59
-30.913688344953457;60
-30.913688344953457;60
-30.913688344953457;60
-30.913688344953457;58
-30.913688344953457;59
-30.913688344953457;63
-30.913688344953457;59
-30.913688344953457;61
-30.20922501787019;60
-30.913688344953457;61
-30.913688344953457;59
-30.913688344953457;60
-30.913688344953457;59
-30.913688344953457;61
-30.913688344953457;59
-30.913688344953457;60
-30.913688344953457;60
-30.913688344953457;60
-30.913688344953457;62
-30.913688344953457;60
-30.913688344953457;60
-30.913688344953457;62
-30.913688344953457;60
-30.913688344953457;60
-30.913688344953457;59
-30.913688344953457;62
-30.913688344953457;60
-30.913688344953457;58
-30.913688344953457;61
-30.913688344953457;59
-30.913688344953457;59
-30.913688344953457;58
-30.913688344953457;60
-30.913688344953457;61
-30.913688344953457;61
-30.913688344953457;59
-30.913688344953457;59
-30.913688344953457;60
-30.913688344953457;58
-30.913688344953457;61
-30.913688344953457;59
-30.37589168453686;60
-30.37589168453686;60
-30.913688344953457;61
-30.913688344953457;60
-30.913688344953457;60
-30.913688344953457;60
-30.913688344953457;60
-30.913688344953457;59
-30.913688344953457;60
-30.913688344953457;58
-30.913688344953457;59
-30.913688344953457;59
-30.37589168453686;59
-30.913688344953457;59
-30.913688344953457;58
-30.913688344953457;58
-30.913688344953457;60
-30.913688344953457;60
-30.913688344953457;59
-30.913688344953457;64
-30.913688344953457;59
-30.913688344953457;58
-30.913688344953457;58
-30.20922501787019;60
-30.913688344953457;61
-30.913688344953457;63
-30.913688344953457;59
-30.913688344953457;59
-30.913688344953457;59
-30.913688344953457;60
-30.913688344953457;61
-30.913688344953457;59
-30.20922501787019;59
-30.913688344953457;58
-30.913688344953457;63
-30.913688344953457;61
-30.913688344953457;59
-30.913688344953457;59
-30.913688344953457;59
-30.913688344953457;60
-30.913688344953457;59
-30.913688344953457;61
-30.913688344953457;62
-30.913688344953457;61
-30.913688344953457;61
-30.913688344953457;60
-30.913688344953457;59
-30.20922501787019;60
-30.913688344953457;61
-30.913688344953457;60
-30.913688344953457;60
-30.913688344953457;60
-30.913688344953457;60
-30.913688344953457;61
-30.913688344953457;58
-30.913688344953457;59
-30.913688344953457;61
-30.913688344953457;60
-30.913688344953457;62
-30.913688344953457;59
-30.913688344953457;61
-30.913688344953457;59
-30.913688344953457;59
-30.913688344953457;60
-30.913688344953457;59
-30.913688344953457;60
-30.913688344953457;62
-30.913688344953457;60
-30.913688344953457;62
-30.20922501787019;58
-30.913688344953457;59
-30.913688344953457;59
-30.913688344953457;59
-30.913688344953457;59
-30.913688344953457;59
-30.913688344953457;59
-30.913688344953457;60
-30.913688344953457;60
-30.20922501787019;59
-30.913688344953457;59
-30.913688344953457;58
-30.913688344953457;58
-30.913688344953457;61
-30.913688344953457;60
-30.37589168453686;61
-30.913688344953457;62
-30.913688344953457;61
-30.913688344953457;61
-30.913688344953457;62
-30.913688344953457;62
-30.913688344953457;60
-30.37589168453686;59
-30.913688344953457;60
-30.913688344953457;61
-30.913688344953457;62
-30.913688344953457;60
-30.913688344953457;60
-30.913688344953457;64
-30.913688344953457;60
-30.913688344953457;61
-30.913688344953457;63
-30.913688344953457;59
-30.913688344953457;63
-30.913688344953457;61
-30.913688344953457;60
-30.913688344953457;59
-30.913688344953457;59
-30.913688344953457;62
-30.913688344953457;61
-30.913688344953457;59
-30.913688344953457;59
-30.913688344953457;60
-30.913688344953457;61
-30.913688344953457;61
-30.913688344953457;59
-30.913688344953457;61
-30.913688344953457;60
-30.913688344953457;59
-30.913688344953457;61
-30.37589168453686;60
-30.913688344953457;60
-30.913688344953457;59
-30.913688344953457;62
-30.913688344953457;59
-30.913688344953457;59
-30.913688344953457;59
-30.913688344953457;63
-30.913688344953457;60
-30.913688344953457;62
-30.913688344953457;61
-30.913688344953457;60
-30.913688344953457;60
-30.913688344953457;62
-30.913688344953457;62
-30.913688344953457;59
-30.913688344953457;59
-30.913688344953457;60
-30.913688344953457;61
-30.913688344953457;62
-30.913688344953457;61
-30.913688344953457;63
-30.913688344953457;60
-30.913688344953457;61
-30.913688344953457;61
-30.913688344953457;61
-30.37589168453686;59
-30.913688344953457;59
-30.913688344953457;60
-30.913688344953457;60
-30.37589168453686;59
-30.913688344953457;60
-30.913688344953457;60
-30.913688344953457;59
-30.913688344953457;59
-30.913688344953457;61
-30.913688344953457;59
-30.913688344953457;59
-30.913688344953457;59
-30.913688344953457;58
-30.913688344953457;59
-30.913688344953457;60
-30.913688344953457;59
-30.913688344953457;60
-30.913688344953457;58
-30.913688344953457;60
-30.913688344953457;62
-30.913688344953457;59
-30.913688344953457;62
-30.913688344953457;61
-30.913688344953457;59
-30.913688344953457;62
-30.913688344953457;61
-30.913688344953457;62
-30.913688344953457;60
-30.913688344953457;61
-30.913688344953457;59
-30.913688344953457;63
-30.913688344953457;61
-30.913688344953457;60
-30.913688344953457;62
-30.37589168453686;59
-30.913688344953457;59
-30.913688344953457;61
-30.913688344953457;62
-30.37589168453686;59
-30.913688344953457;60
-30.913688344953457;61
-30.913688344953457;59
-30.913688344953457;61
-30.913688344953457;60
-30.913688344953457;60
-30.913688344953457;61
-30.913688344953457;60
-30.913688344953457;59
-30.913688344953457;63
-30.913688344953457;62
-30.913688344953457;63
-30.913688344953457;60
-30.913688344953457;61
-30.913688344953457;62
-30.913688344953457;60
-30.913688344953457;58
-30.913688344953457;62
-30.913688344953457;62
-30.913688344953457;60
-30.913688344953457;60
-30.913688344953457;61
-30.913688344953457;61
-30.913688344953457;59
-30.37589168453686;58
-30.37589168453686;59
-30.913688344953457;60
-30.913688344953457;60
-30.913688344953457;61
-30.913688344953457;62
-30.913688344953457;60
-30.913688344953457;60
-30.913688344953457;62
-30.913688344953457;59
-30.913688344953457;61
-30.913688344953457;60
-30.913688344953457;62
-30.913688344953457;61
-30.913688344953457;59
-30.913688344953457;61
-30.913688344953457;61
-30.913688344953457;59
-30.913688344953457;61
-30.20922501787019;63
-30.913688344953457;59
-30.913688344953457;58
-30.913688344953457;60
-30.913688344953457;60
-30.913688344953457;60
-30.913688344953457;61
-30.913688344953457;60
-30.913688344953457;60
-30.37589168453686;61
-30.20922501787019;60
-30.913688344953457;60
-30.913688344953457;61
-30.913688344953457;59
-30.913688344953457;61
-30.913688344953457;61
-30.913688344953457;60
-30.913688344953457;61
-30.913688344953457;59
-30.913688344953457;59
-30.913688344953457;59
-30.913688344953457;60
-30.913688344953457;61
-30.913688344953457;59
-30.913688344953457;61
-30.913688344953457;60
-30.913688344953457;60
-30.913688344953457;60
-30.913688344953457;59
-30.37589168453686;60
-30.913688344953457;60
-30.913688344953457;60
-30.913688344953457;60
-30.913688344953457;59
-30.913688344953457;60
-30.913688344953457;61
-30.913688344953457;59
-30.913688344953457;60
-30.913688344953457;61
-30.913688344953457;59
-30.913688344953457;60
-30.913688344953457;59
-30.913688344953457;61
-30.20922501787019;58
-30.913688344953457;61
-30.913688344953457;61
-30.913688344953457;61
-30.913688344953457;61
-30.913688344953457;60
-30.913688344953457;60
-30.37589168453686;59
-30.913688344953457;59
-30.913688344953457;61
-30.913688344953457;61
-30.913688344953457;61
-30.913688344953457;61
-30.913688344953457;59
-30.913688344953457;59
-30.913688344953457;63
-30.913688344953457;60
-30.913688344953457;61
-30.913688344953457;59
-30.913688344953457;59
-30.913688344953457;59
-30.913688344953457;59
-30.913688344953457;60
-30.913688344953457;61
-30.913688344953457;59
-30.913688344953457;60
-30.913688344953457;59
-30.913688344953457;60
-30.913688344953457;59
-30.913688344953457;59
-30.913688344953457;60
-30.913688344953457;59
-30.913688344953457;60
-30.913688344953457;61
-30.913688344953457;60
-30.913688344953457;61
-30.913688344953457;58
-30.913688344953457;58
-30.913688344953457;61
-30.913688344953457;60
